Cod Item;Descrição Item;Quantia;Nota Fornecedor;Lote Fornecedor;Validade;Local;Serie Cipatex;Setor
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003016;AAC137129;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003016;AAC137130;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003017;AAC137131;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003017;AAC137132;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003016;AAC137133;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003016;AAC137134;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003016;AAC137135;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003017;AAC137136;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003017;AAC137137;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003016;AAC137138;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003015;AAC137139;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003015;AAC137140;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003015;AAC137143;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003015;AAC137144;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01005/566134;19/07/2024;ALM003017;AAC137145;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01006/566135;19/07/2024;ALM003017;AAC137146;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01008/566136;19/07/2024;ALM003015;AAC137147;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01008/566136;19/07/2024;ALM003015;AAC137148;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;52,45;9795;511A00988/538750;17/04/2024;CAL001;AAC172738;PRODUCAO
1001742578;RESINA VESTOLIT E 6007        ;120,70;8313;0001022180/533550;02/02/2024;CAL001;AAC083232;PRODUCAO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;8313;0001022180/533550;02/02/2024;ALM003004;AAC083236;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;8313;0001022180/533550;02/02/2024;ALM003005;AAC083237;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;8313;0001022180/533550;02/02/2024;ALM003006;AAC083238;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;8313;0001022180/533550;02/02/2024;ALM003006;AAC083239;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;8313;0001022180/533550;02/02/2024;ALM003007;AAC083240;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;8313;0001022180/533550;02/02/2024;ALM003007;AAC083241;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;8313;0001022180/533550;02/02/2024;ALM003007;AAC083242;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003014;AAC138020;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003014;AAC138021;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003013;AAC138022;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003013;AAC138023;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003013;AAC138024;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003013;AAC138025;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003012;AAC138026;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003012;AAC138027;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003012;AAC138028;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003012;AAC138029;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003011;AAC138030;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003011;AAC138031;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003011;AAC138032;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003011;AAC138033;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003010;AAC138034;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003010;AAC138035;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003013;AAC138036;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003013;AAC138037;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003013;AAC138038;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003013;AAC138039;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003012;AAC138040;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003012;AAC138041;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003010;AAC138042;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003010;AAC138043;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003012;AAC138044;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003012;AAC138045;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003011;AAC138046;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003011;AAC138047;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003011;AAC138048;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003011;AAC138049;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003010;AAC138050;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003010;AAC138051;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003010;AAC138052;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003010;AAC138053;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003009;AAC138054;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003009;AAC138055;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003009;AAC138056;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003009;AAC138057;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003014;AAC138058;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;500,00;9100;0001065961/566433;24/07/2024;ALM003014;AAC138059;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003009;AAC172739;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003009;AAC172740;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003008;AAC172741;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003008;AAC172742;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003007;AAC172743;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003006;AAC172744;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003006;AAC172745;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003005;AAC172746;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003005;AAC172747;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003004;AAC172748;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;232,06;9795;1024982/533550;17/04/2024;CAL001;AAC172749;PRODUCAO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003008;AAC172752;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003008;AAC172753;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003005;AAC172754;ALMOXARIFADO
1001742578;RESINA VESTOLIT E 6007        ;1.000,00;9795;1024982/533550;17/04/2024;ALM003004;AAC172755;ALMOXARIFADO
1001742580;RESINA KANE ACE 10F           ;800,00;9082;10F1W2106/566139;19/07/2027;ALM003015;AAC137155;ALMOXARIFADO
1001742580;RESINA KANE ACE 10F           ;800,00;9082;10F1W2104/566138;19/07/2028;ALM003018;AAC137156;ALMOXARIFADO
1001742580;RESINA KANE ACE 10F           ;505,65;9082;10F1W2104/566138;19/07/2028;CAL001;AAC137157;PRODUCAO
1001742580;RESINA KANE ACE 10F           ;800,00;9082;10F1W2104/566138;19/07/2028;ALM003015;AAC137158;ALMOXARIFADO
1001742582;RESINA KANE ACE PA 121        ;500,00;9082;121A00659/566140;11/07/2026;ALM003019;AAC137149;ALMOXARIFADO
1001742582;RESINA KANE ACE PA 121        ;500,00;9082;121A00659/566140;11/07/2026;ALM003019;AAC137150;ALMOXARIFADO
1001742582;RESINA KANE ACE PA 121        ;70,00;9082;121A00659/566140;11/07/2026;CAL001;AAC137151;PRODUCAO
1001742582;RESINA KANE ACE PA 121        ;500,00;9082;121A00659/566140;11/07/2026;ALM003019;AAC137153;ALMOXARIFADO
1001742582;RESINA KANE ACE PA 121        ;500,00;9082;121A00659/566140;11/07/2026;ALM003019;AAC137154;ALMOXARIFADO
1001742582;RESINA KANE ACE PA 121        ;68,39;9795;121A00628/536129;11/11/2026;CAL001;AAC172731;PRODUCAO
1001742584;RESINA VINNOLIT K 240         ;500,00;8313;2458538/536957;02/02/2028;ALM003002;AAC083210;ALMOXARIFADO
1001742584;RESINA VINNOLIT K 240         ;89,00;8313;2458538/536957;02/02/2028;CAL001;AAC083211;PRODUCAO
1001742584;RESINA VINNOLIT K 240         ;500,00;9795;2458458/536957;11/11/2027;ALM003014;AAC172721;ALMOXARIFADO
1001742584;RESINA VINNOLIT K 240         ;500,00;9795;2458458/536957;11/11/2027;ALM003014;AAC172722;ALMOXARIFADO
1001742698;ADITIVO FACI L900             ;394,00;9795;L900220026/537241;17/04/2024;CAL001;AAC172727;PRODUCAO
1001759816;PIG KRONOS 2220               ;602,34;8882;0040997/534183;30/05/2028;CAL001;AAC122585;PRODUCAO
1001759817;PIG ULTRAMARINE BLUE 31       ;24,30;8882;201293/501186;30/05/2028;CAL001;AAC122587;PRODUCAO
1001759818;PIG MICROLITH SCARLET 3540 KP ;5,93;8882;0022163955/522904;30/05/2028;CAL001;AAC122586;PRODUCAO
1001771023;RESINA VINNOLIT S3157/11      ;760,00;9855;2914644/575204;23/11/2028;CAL001;AAC174412;PRODUCAO
1001771023;RESINA VINNOLIT S3157/11      ;1.000,00;9874;2914548/560302;24/11/2028;ALM003019;AAC175503;ALMOXARIFADO
